uniprot.id	gene.symbol	(+/-)-3-Methyl-2-oxovaleric acid/4-METHYL-2-OXO-PENTANOIC ACID/4-Methyl-2-oxovaleric acid	1.Hydroxy.2.naphthoic.acid	10.Hydroxydecanoic.acid	2-Methylalanine	2,5-Dimethylpyrazine	2'-Deoxycytidine	2'-Deoxyuridine	3-Hydroxy-3-methylglutaric acid	3-Mercaptopyruvate	3-Methylhistamine	3-Ureidopropionic acid	8-hydroxy-2'-deoxyguanosine	Acetyl-L-carnitine	Aconitate	Acrylic.acid	Adenine	Adenosine	Adenosine 3',5'-diphosphate	Adenosine 5'-monophosphate	Allantoin	alpha-Ketoglutarate	Benzoic acid	Biotin	Butyric acid	Butyryl-carnitine	CDP-ethanolamine	Choline hydroxide solution	citramalate	Citrate/isocitrate	Creatine	Creatinine	Cytidine	Cytidine 5'-monophosphate	D-(+)-Galacturonic acid	D-Glucosamine 6-phosphate	D-Glucose	D-Glucose/Frucotose 6-phosphate	D-Pantolactone	Decanoyl-L-carnitine (C10)	Dehydro-L-(+)-ascorbic acid dimer	eicosanoic acid,	Fumarate	GABA	glycerol-3-phosphate	Glycine	Glyoxylic acid	Guanosine 5'-monophosphate disodium	Heptadecanoic acid	Hexanoyl-L-carnitine	Homovanillic acid/DL-p-Hydroxyphenyllactic acid	Hydroxypalmitoyl-carnitine	Hypotaurine	Inosine 5'-monophosphate	Isobutyraldehyde.oxime	Isovaleryl-carnitine	L-(+)-Lactate	L-Alanine	L-Arginine	L-Asparagine	L-Aspartic acid	L-Carnitine	L-Citrulline	L-Cysteinesulfinic acid	L-Dihydroorotic acid	L-Glutamic acid	L-Glutamine	L-Glutathione reduced	L-Histidine	L-Lysine	L-Methionine	L-Phenylalanine	L-Pipecolic acid	L-Proline	L-Serine	L-Threonine	L-Tryptophan	L-Tyrosine	L-Valine	Lauroyl-L-carnitine	Lipoic acid	Lumichrome	malate	Maleate	meso-Erythritol	Methylglyoxal	MTA	Myristic acid	Myristoyl-carnitine	N-Acetyl-D-glucosamine/galactosamine	N-Acetyl-DL-glutamic acid	N-Acetyl-DL-methionine	N-Acetyl-DL-serine	N-Acetyl-L-aspartic acid	N-Acetyl-L-phenylalanine	N-Acetylneuraminic acid	N-alpha-Acetyl-L-asparagine	N-Methyl-L-glutamic acid	NAD	Norepinephrine	O-Phosphorylethanolamine	Ocatadecanoyl-carnitine	Octanoyl-L-carnitine (C8)	Hydroxybutyric acid	Ornithine	Oxidised glutathione	Palmitic acid	Palmitoylcarnitine	Pantothenic acid	Phosphocreatine	propionate	Propionyl-carnitine	Quinolinic acid	Rhamnose/Fucose/2-deoxy-D-glucose	S.Carboxymethyl.L.cysteine	Sodium gluconate	Stearic acid	Succinate	Succinate semialdehyde	Sucrose/Lactose/Palatinose/Trehalose	Taurine	Theophylline	Thymidine	Thymine	trans-4-Hydroxy-L-proline	Uracil	Uric acid	Uridine	Uridine 5'-diphospho-N-acetylgalactosamine	Uridine 5'-monophosphate	Uridine-5'-diphosphoglucose	Xylitol/Arabitol/Adonitol	xylose/ribose/arabinose
Q80ZM5	H1F10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02558657286821355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q3U0V1	KHSRP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2AJ72	FUBP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q91WJ8-2	FUBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q91V81	RBM42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99KD5	UNC45A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q80WW9	DDRGK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8CH77	NAV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8K0D5	GFM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q80UM7	MOGS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
