gene.symbol.x	ID	chebi.name	chebi.identifier	edge_db	row	gene.symbol.y	analyte1	column	analyte2	cor	p	n	p_adj	edge	chebi.name.child	chebi.id.child	identifier.rank	length.child	chebi.id.ancestor	length.ancestor	chebi.name.ancestor	edge_ancestor2	database
ACOT13	RHEA:40115	hexanoate	CHEBI:17120	ACOT13_CHEBI:17120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACOT13	RHEA:40119	tetradecanoate	CHEBI:30807	ACOT13_CHEBI:30807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACOT13	RHEA:16645	hexadecanoate	CHEBI:7896	ACOT13_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACOT13	RHEA:30135	dodecanoate	CHEBI:18262	ACOT13_CHEBI:18262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACOT13	RHEA:40139	(9Z)-octadecenoate	CHEBI:30823	ACOT13_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
TIGAR	RHEA:17289	beta-D-fructose 6-phosphate	CHEBI:57634	TIGAR_CHEBI:57634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
HINT3	RHEA:67916	AMP	CHEBI:456215	HINT3_CHEBI:456215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
NIT2	RHEA:11716	a dicarboxylate	CHEBI:28965	NIT2_CHEBI:28965	sp|Q9JHW2|NIT2_MOUSE	NIT2	protein	Guanidinosuccinic acid	metabolite	0.325105629194635	2.29232236614862e-5	163	0.0035329434129825	NIT2_Guanidinosuccinic acid	N-amidino-L-aspartate(2−)	CHEBI:32813	primary	28	CHEBI:28965	22	dicarboxylic acid dianion	NIT2_Guanidinosuccinic acid_CHEBI:28965	Rhea
NIT2	RHEA:32963	2-oxoglutarate	CHEBI:16810	NIT2_CHEBI:16810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSS2	RHEA:23176	AMP	CHEBI:456215	ACSS2_CHEBI:456215	sp|Q9QXG4|ACSA_MOUSE	ACSS2	protein	Adenosine 5'-monophosphate	metabolite	-0.259116937590296	8.3791874147243e-4	163	0.0372073792389511	ACSS2_Adenosine 5'-monophosphate	adenosine 5'-monophosphate(2−)	CHEBI:456215	primary	21	CHEBI:456215	21	adenosine 5'-monophosphate(2-)	ACSS2_Adenosine 5'-monophosphate_CHEBI:456215	Rhea
ACSS2	RHEA:20373	propanoate	CHEBI:17272	ACSS2_CHEBI:17272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ACSS2	RHEA:20373	AMP	CHEBI:456215	ACSS2_CHEBI:456215	sp|Q9QXG4|ACSA_MOUSE	ACSS2	protein	Adenosine 5'-monophosphate	metabolite	-0.259116937590296	8.3791874147243e-4	163	0.0372073792389511	ACSS2_Adenosine 5'-monophosphate	adenosine 5'-monophosphate(2−)	CHEBI:456215	primary	21	CHEBI:456215	21	adenosine 5'-monophosphate(2-)	ACSS2_Adenosine 5'-monophosphate_CHEBI:456215	Rhea
NANS	RHEA:19273	N-acetylneuraminate	CHEBI:35418	NANS_CHEBI:35418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASH1L	RHEA:60324	S-adenosyl-L-homocysteine	CHEBI:57856	ASH1L_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASH1L	RHEA:60280	S-adenosyl-L-homocysteine	CHEBI:57856	ASH1L_CHEBI:57856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASAH2	RHEA:20856	a fatty acid	CHEBI:28868	ASAH2_CHEBI:28868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASAH2	RHEA:41291	dodecanoate	CHEBI:18262	ASAH2_CHEBI:18262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASAH2	RHEA:38891	hexadecanoate	CHEBI:7896	ASAH2_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASAH2	RHEA:41295	hexanoate	CHEBI:17120	ASAH2_CHEBI:17120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASAH2	RHEA:41279	octadecanoate	CHEBI:25629	ASAH2_CHEBI:25629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASAH2	RHEA:41287	tetradecanoate	CHEBI:30807	ASAH2_CHEBI:30807	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASAH2	RHEA:41299	(9Z)-octadecenoate	CHEBI:30823	ASAH2_CHEBI:30823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASAH2	RHEA:43440	hexadecanoate	CHEBI:7896	ASAH2_CHEBI:7896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
ASAH2	RHEA:45008	octadecanoate	CHEBI:25629	ASAH2_CHEBI:25629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC17A5	RHEA:28987	N-acetylneuraminate	CHEBI:35418	SLC17A5_CHEBI:35418	sp|Q8BN82|S17A5_MOUSE	SLC17A5	protein	N-Acetylneuraminic acid	metabolite	0.261473507723929	7.477970907459e-4	163	0.0346982050734911	SLC17A5_N-Acetylneuraminic acid	N-acetylneuraminate	CHEBI:35418	primary	25	CHEBI:35418	25	N-acetylneuraminate	SLC17A5_N-Acetylneuraminic acid_CHEBI:35418	Rhea
SLC17A5	RHEA:72591	D-glucuronate	CHEBI:58720	SLC17A5_CHEBI:58720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC17A5	RHEA:66332	L-aspartate	CHEBI:29991	SLC17A5_CHEBI:29991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SLC17A5	RHEA:66336	L-glutamate	CHEBI:29985	SLC17A5_CHEBI:29985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT7	RHEA:43636	NAD(+)	CHEBI:57540	SIRT7_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT7	RHEA:43636	nicotinamide	CHEBI:17154	SIRT7_CHEBI:17154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT7	RHEA:47664	NAD(+)	CHEBI:57540	SIRT7_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT7	RHEA:47664	nicotinamide	CHEBI:17154	SIRT7_CHEBI:17154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT7	RHEA:47668	NAD(+)	CHEBI:57540	SIRT7_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT7	RHEA:47668	nicotinamide	CHEBI:17154	SIRT7_CHEBI:17154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT7	RHEA:23500	NAD(+)	CHEBI:57540	SIRT7_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT7	RHEA:23500	nicotinamide	CHEBI:17154	SIRT7_CHEBI:17154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT7	RHEA:70631	NAD(+)	CHEBI:57540	SIRT7_CHEBI:57540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
SIRT7	RHEA:70631	nicotinamide	CHEBI:17154	SIRT7_CHEBI:17154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rhea
